country,n_nodes,within_weight,incoming_weight,outgoing_weight,external_weight,external_share,mean_rl,max_rl,scenario,metric,absorption_gain
ARE,49,13.744120345020459,21.89281675166057,23.66000792496802,18.06458398658767,0.5679132289785533,0.0011268596696248775,0.014779287953038851,Financial: 2008-style US+UK+IRL finance,damped,0.01652875025283019
SVN,48,16.624066399162945,18.41323263055313,27.116806621240976,12.281906453468217,0.42489164838298316,0.00111959604335605,0.003320519445056765,Financial: 2008-style US+UK+IRL finance,damped,0.025754791730610942
CZE,49,19.257647866642905,24.352907023103164,28.34155821512242,14.179169504939772,0.4240585862992565,0.0010768052337192004,0.0045813792929786734,Financial: 2008-style US+UK+IRL finance,damped,0.026924332937830888
SVK,49,17.464093829862875,20.51566489501136,27.818868686063364,13.406345921348972,0.43427777606642914,0.0009880389480594774,0.0037778013618181778,Financial: 2008-style US+UK+IRL finance,damped,0.02580950113455832
LAO,49,12.890246168962522,13.014620313294417,20.949532439400453,8.183660414769829,0.388331436426081,0.0009346401285068077,0.012220188479029661,Financial: 2008-style US+UK+IRL finance,damped,0.012970443025290244
AUT,49,18.0077188447167,26.0458355908356,26.614533282971728,16.64493118437393,0.4803364582622293,0.0009274915416672463,0.003558049625309166,Financial: 2008-style US+UK+IRL finance,damped,0.02202079471725368
BLR,49,13.635748814350798,16.184229520306186,23.8689645428988,12.781696434503388,0.4838354471486138,0.0009261512875371507,0.006334007570714869,Financial: 2008-style US+UK+IRL finance,damped,0.018443282565100548
CIV,49,19.232200191971817,19.59112473928902,23.28045952757911,4.4071838829245,0.18643395568011767,0.0008816349012476295,0.003536778000762427,Financial: 2008-style US+UK+IRL finance,damped,0.01899829203698536
STP,49,17.426176421982667,17.42686836719839,25.22905210285717,7.803567626090228,0.30930030884266074,0.0008711851322828313,0.0027454164287688534,Financial: 2008-style US+UK+IRL finance,damped,0.01811670475249839
MYS,49,21.48330722646896,26.36696468553693,29.95232703117747,13.352677263776485,0.3833012747928918,0.0007349085101977043,0.0034527402270344057,Financial: 2008-style US+UK+IRL finance,damped,0.013683627086570437
TUR,49,18.16387807822789,26.811776369351676,24.07948700751698,14.56350722041288,0.44499452331799116,0.0007052673148760772,0.0029355146678251847,Financial: 2008-style US+UK+IRL finance,damped,0.013364957968158061
PER,49,19.06684010036836,20.148735370827158,23.85929686546614,5.874352035556576,0.23552811764339218,0.0007043431619664506,0.014022587810755972,Financial: 2008-style US+UK+IRL finance,damped,0.014013057722732048
THA,49,19.022098520708717,29.729355160249167,26.757099510063917,18.442257628895646,0.4922614325801086,0.0007016481221384639,0.0025784737589183222,Financial: 2008-style US+UK+IRL finance,damped,0.014517683131261101
JPN,49,21.26020370526529,35.51790819431642,25.032018267568343,18.029519051354185,0.4588863902918887,0.000674479625211777,0.007927516026106337,Financial: 2008-style US+UK+IRL finance,damped,0.015308491760704247
NZL,49,21.390242464332033,21.990383830311107,26.08314626993799,5.293045171585035,0.19836555539206968,0.0006363346848177801,0.003068473522747837,Financial: 2008-style US+UK+IRL finance,damped,0.013413019759480147
BRA,49,22.77387546509681,29.066650242544267,26.20363240496664,9.722531717317288,0.29918789676474683,0.0005909623618286005,0.0029822223828795975,Financial: 2008-style US+UK+IRL finance,damped,0.0137667024167867
AGO,49,13.546538260441164,15.588949506894066,19.831437178617293,8.327310164629033,0.3806970772955015,0.0005864491421962148,0.001895685834224993,Financial: 2008-style US+UK+IRL finance,damped,0.011741894728747372
IDN,49,19.420193546675325,24.557328497297338,23.137622827518022,8.854564231464714,0.3131614530862723,0.0005725279486775276,0.003549286377364017,Financial: 2008-style US+UK+IRL finance,damped,0.013212136405563943
TWN,49,19.78802488441978,25.418569220812458,27.499554781043287,13.342074233016184,0.40271760690249236,0.0005554030084269582,0.003486818485595028,Financial: 2008-style US+UK+IRL finance,damped,0.013411157545485214
RUS,49,21.52643837550592,53.24193847994604,25.05783368507074,35.24689541400494,0.6208354003780023,0.000519904928841817,0.0021457893324533755,Financial: 2008-style US+UK+IRL finance,damped,0.01622109553520009
ZAF,49,23.746177607118156,27.0269948802819,28.828523926043122,8.36316359208871,0.26045889699833796,0.000511992238865137,0.0018896110824924654,Financial: 2008-style US+UK+IRL finance,damped,0.015428762066413573
SAU,48,19.21393104795616,26.36504192822082,23.804579165760224,11.741758998068725,0.3793085852911401,0.0004942397975332426,0.0014451553368183192,Financial: 2008-style US+UK+IRL finance,damped,0.013986430358261664
CHL,48,18.131909152859517,19.74107256254124,23.872132495663756,7.349386752485962,0.2884228015634089,0.00046444329590087833,0.002157455032943544,Financial: 2008-style US+UK+IRL finance,damped,0.013105173803899925
KAZ,49,17.804322174372658,20.280842575902334,21.243380660139575,5.91557888729659,0.24939306753079227,0.0004258725476787928,0.0013926430096554872,Financial: 2008-style US+UK+IRL finance,damped,0.01678648785555683
BRN,48,15.124740395054364,15.243385195558362,20.853894662759615,5.847799068209248,0.27883123445553654,0.0003884991257754233,0.003971279711828301,Financial: 2008-style US+UK+IRL finance,damped,0.010575906360696656
COD,49,9.592101835416186,10.046153304493155,16.842423166070272,7.704372799731058,0.4454302372158205,0.0003883307527094413,0.0034789078885906254,Financial: 2008-style US+UK+IRL finance,damped,0.012576233720459327
KOR,49,21.739707434105366,36.7479347360662,27.611284735082585,20.879804602938044,0.48991186442468043,0.0003853847866250169,0.0017075854250329248,Financial: 2008-style US+UK+IRL finance,damped,0.012672930800789173
VNM,49,23.985825262998453,29.290934810503998,33.4235905448583,14.742874829365391,0.38067053100685533,0.00031501142006862065,0.0015712624063324145,Financial: 2008-style US+UK+IRL finance,damped,0.010855721746821263
MMR,49,23.251580666192424,23.49011768921292,29.96238033382512,6.94933669065319,0.23010349680911235,0.00028247125971587,0.0015333182656721391,Financial: 2008-style US+UK+IRL finance,damped,0.008870016241412858
AUS,49,23.33824853452205,28.262892478949546,27.23746955322352,8.823864963128962,0.2743558803675455,0.00022920490773674644,0.0008889277765184415,Financial: 2008-style US+UK+IRL finance,damped,0.010182249843861171
CHN,49,26.90788476743107,87.25671059996974,29.194315660033723,62.63525672514132,0.6994980931100895,0.000146274599639802,0.0007126216454158167,Financial: 2008-style US+UK+IRL finance,damped,0.008462554430685545
ARG,48,20.258336175859196,21.625875802091084,23.34622019333053,4.45542364370322,0.18028109345695292,0.17980814342651072,0.3826491133844266,Food: Major agricultural exporters shock,baseline,
BRA,48,22.77387546509681,29.066650242544267,26.20363240496664,9.722531717317288,0.29918789676474683,0.16115621987847362,0.39024324910296493,Food: Major agricultural exporters shock,baseline,
UKR,48,21.466417516664414,24.226309552677968,28.46753880708375,9.761013326432888,0.31257817447350206,0.1491915922871512,0.6299274049839271,Food: Major agricultural exporters shock,baseline,
AUS,48,23.33824853452205,28.262892478949546,27.23746955322352,8.823864963128962,0.2743558803675455,0.05920785647131684,0.17214192351735658,Food: Major agricultural exporters shock,baseline,
USA,48,21.817266628522702,70.19217056597887,24.343959230128554,50.90159653906201,0.6999778918677045,0.04159573452115136,0.21308894577892898,Food: Major agricultural exporters shock,baseline,
BLR,49,13.635748814350798,16.184229520306186,23.8689645428988,12.781696434503388,0.4838354471486138,0.03486160932774268,0.10324638675593213,Food: Major agricultural exporters shock,baseline,
MAR,49,13.468185636559248,14.387033151469751,21.711550638067777,9.162212516419032,0.4048630719832579,0.030217795786085203,0.10291695616541438,Food: Major agricultural exporters shock,baseline,
MEX,49,17.085513868617213,20.79413046065904,23.955810452241863,10.578913175666479,0.38240131121213305,0.028504662422570035,0.16338088232534212,Food: Major agricultural exporters shock,baseline,
ISR,47,19.513981394288123,22.083820836864398,25.51412079407854,8.569978842366694,0.3051556393809898,0.02538719293572943,0.05349896616673275,Food: Major agricultural exporters shock,baseline,
CAN,49,19.03683062770118,23.951558011068865,25.32160816256509,11.199504918231597,0.37039888319859887,0.024944027085348222,0.04185937152101447,Food: Major agricultural exporters shock,baseline,
CRI,49,15.28757037709845,15.454110746068247,23.144612144398078,8.023582136269425,0.34419499986833635,0.02361127825745552,0.10074103838122411,Food: Major agricultural exporters shock,baseline,
COL,49,20.21266752428177,21.27043900927838,24.703917816529906,5.5490217772447465,0.21539821058690967,0.022589513998970287,0.04880960303477013,Food: Major agricultural exporters shock,baseline,
LTU,49,13.575110626545996,16.659574971288855,23.81434528993507,13.323699008131932,0.4953267147909411,0.022363677375232927,0.04336245031677774,Food: Major agricultural exporters shock,baseline,
POL,49,20.229126509428866,31.55173563051005,28.03001350700891,19.123496118661222,0.48595226547901743,0.02197522563257399,0.10951780950385723,Food: Major agricultural exporters shock,baseline,
NGA,49,18.33719576010173,21.450213836226595,22.932432868714248,7.708255184737382,0.2959539921601844,0.02139052252026896,0.03523533040328509,Food: Major agricultural exporters shock,baseline,
CHE,48,20.16770344091382,27.074105648796845,27.589831142861648,14.328529909830856,0.4153650563568426,0.021078023940444248,0.1378976835328229,Food: Major agricultural exporters shock,baseline,
NZL,49,21.390242464332033,21.990383830311107,26.08314626993799,5.293045171585035,0.19836555539206968,0.021028354539448735,0.033288538679790765,Food: Major agricultural exporters shock,baseline,
HUN,49,14.613090903500986,18.660870115156047,26.524165542388356,15.958853850542432,0.5220097700337408,0.020621763753252587,0.04308797750677923,Food: Major agricultural exporters shock,baseline,
NOR,49,19.78009988471274,26.55316527247008,26.897453734617507,13.890419237662101,0.4125395033910123,0.020116089772480156,0.029868685193288363,Food: Major agricultural exporters shock,baseline,
NLD,47,17.35782004641359,31.54313709149323,27.21156908412792,24.039066082793973,0.5806974468505547,0.02011106487279296,0.025549134693535213,Food: Major agricultural exporters shock,baseline,
ESP,49,21.200592638204313,35.0562844293962,27.203045565169127,19.8581447181567,0.48365210419896615,0.01962506034364987,0.028697012306402415,Food: Major agricultural exporters shock,baseline,
PRT,47,18.747846721572714,24.70726120990147,26.9541240172754,14.165691784031445,0.4303910313872653,0.01958863202519069,0.03400176982724791,Food: Major agricultural exporters shock,baseline,
GRC,49,18.464014696652548,22.063528556557834,25.158112779503732,10.29361194275647,0.35794372295835636,0.01923532105929072,0.048785414279004416,Food: Major agricultural exporters shock,baseline,
EGY,49,12.919070353582446,14.784932256247481,17.367031917826054,6.313823466908641,0.3282825520609787,0.01896721910140589,0.03738105499211415,Food: Major agricultural exporters shock,baseline,
CYP,48,14.965832854772508,15.562411435494537,25.77987999122516,11.410625717174682,0.432606435244135,0.0188598589063908,0.03807139881332072,Food: Major agricultural exporters shock,baseline,
TUN,49,12.248694072307835,12.672578344240858,22.553965204898414,10.729155404523603,0.46693470663309067,0.01793362594259628,0.029014350540709746,Food: Major agricultural exporters shock,baseline,
IND,49,20.13036289077761,32.137935340096696,25.01292593085423,16.890135489395703,0.45623738816118636,0.017856012886639724,0.026738327053921228,Food: Major agricultural exporters shock,baseline,
DNK,47,16.856039378128322,23.10479339739837,25.7149366125827,15.107651253724427,0.47265040285020193,0.01778381978740766,0.026058118904651303,Food: Major agricultural exporters shock,baseline,
CZE,49,19.257647866642905,24.352907023103164,28.34155821512242,14.179169504939772,0.4240585862992565,0.017773070646243543,0.09822046688656565,Food: Major agricultural exporters shock,baseline,
ROU,49,19.633955251897763,22.53900404207865,25.962470814245105,9.233564352528226,0.3198599837830379,0.017703079364209506,0.045720365874188554,Food: Major agricultural exporters shock,baseline,
EST,48,16.920539640531047,18.53866259095961,28.084568336022876,12.782151645920393,0.43033648104981087,0.01769892105693627,0.02920513554771037,Food: Major agricultural exporters shock,baseline,
HRV,49,17.25820865451051,18.258790869668786,26.746021625390732,10.488395186038495,0.37800644887251783,0.0176427373066114,0.033032654382942894,Food: Major agricultural exporters shock,baseline,
IRL,49,12.451624402658949,19.744571707273032,26.049311531725774,20.890634433680905,0.6265512644545883,0.017405301024920262,0.029993077356914026,Food: Major agricultural exporters shock,baseline,
BEL,46,18.177283822739327,27.913753918852198,28.357690443302012,19.91687671667556,0.5228328025779218,0.017297739022465747,0.022755993602323183,Food: Major agricultural exporters shock,baseline,
BGR,49,17.929433442825434,19.640390432709562,28.15571193296303,11.937235480021727,0.3996841934685953,0.017265485325212857,0.030813931435740814,Food: Major agricultural exporters shock,baseline,
RUS,49,21.52643837550592,53.24193847994604,25.05783368507074,35.24689541400494,0.6208354003780023,0.01720412710455027,0.030406872011438987,Food: Major agricultural exporters shock,baseline,
